tx_id,gene_id,gene_name,gene_biotype
FBtr0332026,FBgn0264350,asRNA:CR43806,ncRNA
FBtr0087236,FBgn0015754,Lis-1,protein_coding
FBtr0304747,FBgn0015754,Lis-1,protein_coding
FBtr0087240,FBgn0015754,Lis-1,protein_coding
FBtr0344472,FBgn0038405,CG8927,protein_coding
FBtr0100110,FBgn0038405,CG8927,protein_coding
FBtr0087241,FBgn0015754,Lis-1,protein_coding
FBtr0087247,FBgn0034086,CG8441,protein_coding
FBtr0304748,FBgn0034086,CG8441,protein_coding
FBtr0083279,FBgn0024491,Bin1,protein_coding
FBtr0347201,FBgn0024491,Bin1,protein_coding
FBtr0347200,FBgn0024491,Bin1,protein_coding
FBtr0087242,FBgn0034087,clu,protein_coding
FBtr0083255,FBgn0086370,sra,protein_coding
FBtr0333169,FBgn0034087,clu,protein_coding
FBtr0347492,FBgn0267930,lncRNA:CR46211,ncRNA
FBtr0347491,FBgn0267930,lncRNA:CR46211,ncRNA
FBtr0304408,FBgn0262283,mir-985,pre_miRNA
FBtr0087246,FBgn0262166,calypso,protein_coding
FBtr0087245,FBgn0262166,calypso,protein_coding
FBtr0344473,FBgn0086370,sra,protein_coding
