tx_id,gene_id,gene_name,gene_biotype
ENSXETT00000002106,ENSXETG00000031760,nadsyn1,protein_coding
ENSXETT00000002108,ENSXETG00000000973,TMCC2,protein_coding
ENSXETT00000002109,ENSXETG00000000961,ubr1,protein_coding
ENSXETT00000002112,ENSXETG00000031760,nadsyn1,protein_coding
ENSXETT00000002116,ENSXETG00000000974,NUAK2,protein_coding
ENSXETT00000002118,ENSXETG00000000976,KLHDC8A,protein_coding
ENSXETT00000002132,ENSXETG00000025061,CAPZA1,protein_coding
ENSXETT00000002138,ENSXETG00000000979,ttbk2,protein_coding
ENSXETT00000002140,ENSXETG00000000982,ZBTB8OS,protein_coding
ENSXETT00000002143,ENSXETG00000000983,prph2l,protein_coding
ENSXETT00000002145,ENSXETG00000000985,MFSD4A,protein_coding
ENSXETT00000002157,ENSXETG00000026983,RBBP7,protein_coding
ENSXETT00000002161,ENSXETG00000000987,ELK4,protein_coding
ENSXETT00000002163,ENSXETG00000000992,klf15.2,protein_coding
ENSXETT00000002164,ENSXETG00000000956,tll1,protein_coding
ENSXETT00000002171,ENSXETG00000000991,NUMB,protein_coding
ENSXETT00000002172,ENSXETG00000000997,kiaa1109,protein_coding
ENSXETT00000002176,ENSXETG00000000993,SLC45A3,protein_coding
ENSXETT00000002181,ENSXETG00000000997,kiaa1109,protein_coding
ENSXETT00000002188,ENSXETG00000001001,HPCA,protein_coding
ENSXETT00000002189,ENSXETG00000001004,TMEM54,protein_coding
ENSXETT00000002194,ENSXETG00000001002,PAPLN,protein_coding
ENSXETT00000002199,ENSXETG00000022526,EPS8,protein_coding
ENSXETT00000002200,ENSXETG00000001003,TRPC3,protein_coding
ENSXETT00000002205,ENSXETG00000001008,PSEN1,protein_coding
ENSXETT00000002207,ENSXETG00000000956,tll1,protein_coding
ENSXETT00000002215,ENSXETG00000001015,CHST1,protein_coding
ENSXETT00000002216,ENSXETG00000031279,BBS7,protein_coding
ENSXETT00000002219,ENSXETG00000001016,CCNA2,protein_coding
ENSXETT00000002224,ENSXETG00000001022,tmem248,protein_coding
ENSXETT00000002225,ENSXETG00000001021,ACAP3,protein_coding
ENSXETT00000002227,ENSXETG00000001021,ACAP3,protein_coding
ENSXETT00000002232,ENSXETG00000001023,CRY2,protein_coding
ENSXETT00000002238,ENSXETG00000001025,MAPK8IP1,protein_coding
ENSXETT00000002241,ENSXETG00000001026,scnn1d,protein_coding
